Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1630624455.8279183,0,0,0.0,35.2
1630624462.9112787,0,0,0.0,36.6
1630624469.855778,37.875805,-122.259053333,0.0,38.2
1630624477.0199542,37.87575,-122.259058333,0.0,34.8
1630624483.6816123,37.875753333,-122.259063333,0.0,30.6
1630624490.694168,37.87575,-122.259068333,0.0,31.4
1630624497.5489275,37.875758333,-122.259068333,0.0,35.4
1630624504.1517882,37.875788333,-122.259063333,0.0,40.6
1630624510.658815,37.875813333,-122.259068333,0.0,38.0
1630624517.479531,37.875813333,-122.259075,0.0,38.4
1630624523.9675372,37.87581,-122.259083333,0.0,34.0
1630624531.183005,37.875736667,-122.25905,0.0,34.0
1630624538.4488902,37.875741667,-122.259016667,0.0,37.4
1630624545.3233283,37.875735,-122.258958333,0.0,35.0
1630624552.4413502,37.875755,-122.258946667,0.0,35.6
1630624559.1580195,37.87576,-122.258943333,0.0,32.4
1630624565.6217396,37.875753333,-122.25892,0.0,36.4
1630624572.913762,37.875751667,-122.258913333,0.0,35.4
1630624579.4543526,37.87575,-122.258913333,0.0,37.4
1630624587.0903895,37.875736667,-122.258926667,0.0,38.6
1630624594.6041117,37.875735,-122.258931667,0.0,34.8
1630624602.4992108,37.875733333,-122.25892,0.0,35.6
1630624609.7338934,37.875726667,-122.258911667,0.0,33.8
1630624617.6542923,37.875723333,-122.258913333,0.0,40.8
1630624624.8235495,37.875723333,-122.258915,0.0,36.6
1630624632.3256817,37.8757,-122.258938333,0.0,32.4
1630624640.2583537,37.875703333,-122.258928333,0.0,27.8
1630624647.4998991,37.875681667,-122.258881667,0.0,33.0
1630624655.0868795,37.875668333,-122.258905,0.0,34.4
1630624662.794155,37.875661667,-122.25889,0.0,33.0
1630624670.4170089,37.875661667,-122.258888333,0.0,30.4
1630624678.297175,37.875663333,-122.258888333,0.0,30.0
1630624685.1675553,37.875658333,-122.258883333,0.0,31.8
1630624692.7587273,37.875665,-122.258915,0.0,33.6
1630624701.059433,37.875645,-122.258936667,0.0,36.2
1630624709.1109755,37.875635,-122.258933333,0.0,32.8
1630624716.5775208,37.875581667,-122.258923333,0.0,36.4
1630624724.589415,37.875543333,-122.25892,0.0,36.6
1630624731.8527167,37.875445,-122.258863333,0.0,36.8
1630624738.6739035,37.875411667,-122.258856667,0.0,33.0
1630624745.591362,37.875335,-122.258973333,0.0,31.6
1630624752.6931083,37.875306667,-122.258996667,0.0,32.8
1630624760.0287685,37.875273333,-122.259005,0.0,31.6
1630624768.5797992,37.875216667,-122.258978333,0.0,28.4
1630624775.3410242,37.875201667,-122.258956667,0.0,30.4
1630624783.839614,37.875183333,-122.258955,0.0,29.6
1630624791.684124,37.875128333,-122.25894,0.0,29.2
1630624799.1353958,37.87518,-122.259093333,1.0,31.8
1630624807.3388724,37.875183333,-122.259301667,1.0,31.0
1630624816.0210958,37.875156667,-122.259308333,1.0,30.0
1630624824.9479513,37.875146667,-122.259285,0.0,34.8
1630624833.4567099,37.875135,-122.259256667,1.0,35.8
1630624841.188282,37.875133333,-122.259246667,1.0,26.2
1630624849.7355652,37.875118333,-122.259206667,1.0,34.0
1630624858.9131632,37.875123333,-122.259156667,1.0,24.2
1630624867.6817284,37.875143333,-122.259586667,1.0,27.2
1630624876.2623732,37.875165,-122.259783333,1.0,24.8
1637188251.5478113,37.875153333,-122.259883333,1.0,25.8
1637188261.5869007,37.875148333,-122.260008333,1.0,28.0
1637188271.625732,37.875056667,-122.26016,1.0,29.2
1637188281.7640762,37.875051667,-122.260155,1.0,25.8
1637188290.7232432,37.875125,-122.260125,1.0,25.8
1637188300.2119937,37.875231667,-122.260135,1.0,32.6
1637188309.771632,37.875343333,-122.260146667,3.0,29.6
1637188319.196472,37.875421667,-122.26016,3.0,33.8
1637188329.4057326,37.875591667,-122.260161667,2.0,35.0
1637188339.6273415,37.8757,-122.260163333,1.0,37.8
1637188349.3773673,37.875806667,-122.260163333,0.0,33.4
1637188359.5342667,37.875915,-122.260095,0.0,28.8
1637188368.7708957,37.875965,-122.260035,0.0,34.0
1637188378.5003052,37.876008333,-122.259928333,0.0,28.8
1637188388.1226044,37.876018333,-122.259781667,0.0,27.6
1637188396.8967285,37.876006667,-122.259655,0.0,28.6
1637188405.9549894,37.876018333,-122.259588333,0.0,28.8
1637188416.2092679,37.87601,-122.25954,0.0,30.4
1637188425.3076215,37.87601,-122.259523333,0.0,30.8
1637188434.7594378,37.87601,-122.25951,0.0,31.2
1637188445.4845324,37.876015,-122.259513333,0.0,26.8
1637188455.7700124,37.876011667,-122.25953,0.0,26.2
1637188465.1941926,37.876,-122.25954,0.0,30.0
1637188474.4420054,37.875995,-122.259548333,0.0,27.0
1637188484.7749665,37.876041667,-122.259486667,0.0,26.8
1637188495.5231164,37.876035,-122.259378333,0.0,35.2
1637188504.603129,37.876028333,-122.25923,0.0,30.0
1637188514.191256,37.876018333,-122.25915,0.0,30.4
1637188524.2785895,37.876051667,-122.259063333,0.0,31.8
1637188534.3142421,37.876025,-122.259018333,0.0,29.0
1637188543.6201649,37.875943333,-122.259008333,0.0,28.8
1637188554.353869,37.875903333,-122.258975,0.0,35.4
1637188562.5867696,37.875865,-122.259003333,0.0,24.6
1637188570.3276649,37.875841667,-122.259015,0.0,31.8
1637188579.5865119,37.87584,-122.259033333,0.0,25.0
1637188588.7814386,37.875895,-122.259161667,0.0,34.0
1637188597.3802006,37.875933333,-122.259226667,0.0,29.2
1637188607.644214,37.875925,-122.259191667,0.0,31.4
1637188616.5048249,37.875895,-122.259125,0.0,32.4
1637188625.4909058,37.875865,-122.259061667,0.0,34.8
1637188634.958776,37.875828333,-122.259068333,0.0,33.8
1637188644.1964173,37.87581,-122.25907,0.0,34.8
1637188654.6222184,37.875803333,-122.259061667,0.0,37.0
1637188662.5759904,37.875826667,-122.259043333,0.0,37.6
1637188670.738481,37.875848333,-122.259015,0.0,36.2
1637188679.6916423,37.875883333,-122.259011667,0.0,35.6
1637188688.122726,37.875901667,-122.259005,0.0,34.4
1637188697.0237267,37.875906667,-122.258995,0.0,29.2
1637188707.8492992,37.875906667,-122.258981667,0.0,32.0
