Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1635386053.0849223,0,0,2.0,37.6
1635386059.7683308,37.875835,-122.258825,3.0,33.4
1635386066.6316903,37.875831667,-122.258825,3.0,29.2
1635386073.3625333,37.875826667,-122.258828333,3.0,36.2
1635386080.015384,37.875825,-122.258833333,3.0,34.2
1635386087.1918046,37.875825,-122.258845,2.0,30.6
1635386094.365925,37.87583,-122.258851667,1.5,34.4
1635386101.4367375,37.875831667,-122.258851667,2.0,31.2
1635386108.4191954,37.875835,-122.258843333,2.0,32.2
1635386115.6022267,37.875838333,-122.25884,3.5,30.2
1635386122.6145453,37.875838333,-122.258846667,5.0,32.6
1635386129.587581,37.875841667,-122.258841667,4.0,35.8
1635386137.0415223,37.875841667,-122.25884,4.0,33.6
1635386144.2133846,37.875841667,-122.258838333,4.0,28.4
1635386151.5979502,37.875841667,-122.258835,4.0,29.0
1635386158.8587155,37.875841667,-122.258833333,4.0,33.0
1635386166.5361865,37.875836667,-122.25883,4.0,35.0
1635386174.0395613,37.875838333,-122.258823333,4.0,32.8
1635386181.538865,37.875838333,-122.258823333,4.0,33.6
1635386189.1356025,37.87584,-122.258826667,4.0,32.4
1635386196.6636467,37.875836667,-122.258835,4.0,36.2
1635386204.371209,37.875838333,-122.258846667,5.0,34.4
1635386212.0540504,37.875831667,-122.25887,5.0,34.2
1635386219.6397202,37.875823333,-122.25887,5.0,36.6
1635386227.3271103,37.875823333,-122.258863333,5.0,34.4
1635386235.1276743,37.875825,-122.258853333,4.0,31.6
1635386242.9064167,37.87582,-122.25885,4.0,37.0
1635386250.838601,37.875823333,-122.258855,4.0,38.4
1635386258.6738331,37.875818333,-122.25886,4.0,40.0
1635386266.6314821,37.87582,-122.258868333,4.0,30.2
1635386274.6268194,37.875803333,-122.258875,4.0,33.4
1635386282.6250672,37.875778333,-122.258895,4.0,29.6
1635386290.8393085,37.875746667,-122.258923333,4.0,31.8
1635386299.2385962,37.875701667,-122.258936667,4.0,40.0
1635386307.360371,37.875666667,-122.258938333,4.0,32.6
1635386315.4570348,37.875595,-122.258963333,4.0,38.4
